Cavanaugh's Rittenhouse	39.9510774	-75.170927	1823 Sansom Street	8:00 pm	12:00 am	$2 off beer, wine and mixed drinks; half priced pub menu
M Restaurant at The Morris House	39.947325734072	-75.154311399607	231 S. 8th Street	4:00 pm	10:00 pm	3 for $15 Bar Bites at the Bar and Outdoor Cocktail Area
M Restaurant at The Morris House	39.947325734072	-75.154311399607	231 S. 8th Street	4:00 pm	6:00 pm	$4 Beers; $6 Wines, $6 Cocktails; 3 for $15 Bar Bites
12 Steps Down	39.9389584	-75.1573385	831 Christian Street	11:00 am	3:00 pm	$3 Bloody Mary's & Mimosas
2nd Story Brewing	39.9483759951684	-75.1435959711671	117 Chestnut Street	11:30 am	2:00 am	$4 Select Drafts, $7.50 Flights
2nd Street Brew House	39.9266256	-75.1492131	1700 S 2nd Street	4:00 pm	6:00 pm	$3 select drafts & discounted food
a.bar	39.9502708008925	-75.1705138958583	135 S 18th Street	4:00 pm	6:00 pm	$4 Rotating Draft Beer; $1.50 Rotating Oyster in the Half Shell; $10 Raw Bar Tasting of 2 Items; $9 Cheese Plate; $8 House-Crafted Punch; $8 Select Red or White Wine
Abbaye	39.962247651128	-75.143003697265	637 N. 3rd Street	10:00 am	3:00 pm	$2 Off All Drafts, $4 Bloody Marys & Mimosas
Abe Fisher	39.9506491	-75.1683187	1623 Sansom Street	5:00 pm	7:00 pm	$5 Bites $7 Select Cocktails and Wine
Adobe Cafe - South Philly	39.9604147854253	-75.1686044901787	1919 E. Passyunk Avenue	9:00 pm	1:00 am	$2 Cuervo Shots with any drink
Amada	39.9487	-75.14476	217 Chestnut Street	11:30 am	2:30 pm	$12.50 and $13.50 brunch cocktails
Aqua	39.94663	-75.17484	705 Chestnut Street	4:00 pm	7:00 pm	$3 Beer, $4 Wine, $5 Apps, $6 Cocktails
Atlantis	40.16537	-75.0065	2442 Frankford Avenue	5:00 pm	7:00 pm	$0.50 Off All Drinks.
B Side Lounge	39.948674	-75.145814	241 Chestnut Street	11:00 am	3:30 pm	$3 Mimosas and Bloody Marys
B Side Lounge	39.948674	-75.145814	241 Chestnut Street	10:00 pm	2:00 am	$4 Coronas, $5 Apple Martinis, $8 Tokyo Teas
Baby Blues BBQ	39.953536845429	-75.192420413012	3402 Sansom Street	11:30 am	2:00 am	$5 Stoli Drinks
Bar-Ly	39.9540709	-75.1576818	101 N. 11th Street	3:30 pm	6:30 pm	$3.25 domestic bottles; $3.50 import bottles; $3 draft beer; $4.25 cocktails; $4 martinis; $3.50 house red and white wines; $3.50 small carafe sake; $6.25 large carafe sake; $5 wine flights; $1.25 skewers, steamers, Raw Bar; $3/$3.50 snacks
Barra	39.948818	-75.1456539	239 Chestnut Street	11:00 am	3:30 pm	$3 Mimosas and Bloody Marys
Barra	39.948818	-75.1456539	239 Chestnut Street	10:00 pm	2:00 am	$4 Coronas, $5 Apple Martinis, $8 Tokyo Teas
Barra Rossa	39.948486	-75.1573477	929 Walnut Street	11:00 am	3:00 pm	Brunch featuring $12 Bottomless Mimosas, breakfast pizza, three egg omelets, sausage, pepper, & egg sandwiches, salmon eggs benedict, nutella stuffed french toast, and more.
Bayou Bar and Grill	40.02459	-75.22102	4245 Main Street	11:00 am	2:00 am	$2.50 Miller Lites, $8.95 Crabs (3) Garlic or Old Bay
Bierstube	39.9498892801894	-75.1440539929931	206 Market Street	11:00 am	2:00 am	Citywide Canada $5.99 - Shot of Fireball + Can of Moosehead; Citywide Germany $5.99 - Shot of Jagermeister + DAB Pounder; Citywide Philly $5.99 Shot of Jimmy Beam + PBR Pounder. Industry discount: Show you work in hospitality industry and special price is only $5
Bierstube	39.9498892801894	-75.1440539929931	206 Market Street	5:00 pm	7:00 pm	Select craft and German draft beers: $3.99 for 14oz, $7.99 for liter
Bishop's Collar	39.96756	-75.17685	2349 Fairmount Avenue	1:00 pm	3:00 pm	$1 off everything; daily food specials
Boot & Saddle	39.9368929656445	-75.1667970791459	1131 S. Broad Street	6:00 pm	8:00 pm	Half-Price Specialty Cocktails and Select Drafts
Bourbon Blue	40.0242614	-75.222167	Number 2 Rector Street	11:00 am	12:00 am	$3 Miller Lite Bottles & Drafts
Bridgid's	39.968481	-75.176917	726 N 24th St	11:00 am	3:00 pm	$3 Mimosas, $4 well drinks and $5 Bloody Marys
Brownies Irish Pub	39.95082	-75.17424	46 S 2nd Street	4:00 pm	6:00 pm	Half off select drafts and $1 off bottle beers and mixed drinks
Campbell's Place	40.0751991	-75.2045288	8337 Germantown Avenue	9:00 pm	11:00 pm	$3 domestic can/bottle beer; $4 mixed well drinks; $5 house wines; $8 Lukasowa martini/cosmos; $1 off drafts
Cantina Feliz	40.136374	-75.213808	424 S. Bethleham Pike	9:30 pm	11:00 pm	$2 Dos Equis, $3 Craft Beer, $4 House Wine, Red/White Sangria, $5 Feliz Margaritas, $2 Off Specialty Cocktails
Cavanaugh's Rittenhouse	39.9510774	-75.170927	1823 Sansom Street	8:00 pm	12:00 am	$2 off beer, wine and mixed drinks; half priced pub menu
Cavanaugh's University City	39.95453	-75.19992	119 S. 39th Street	11:00 am	12:00 am	$3.95 rotating pints and $6 select mixed drinks
Cavanaugh's University City	39.95453	-75.19992	119 S. 39th Street	10:00 pm	12:00 am	$2 Rolling Rock cans, $6 Rum Runners, $12 Malibu Suck It buckets; DJ at 10 PM
Chap's Taproom & Sports Grill	40.141	-75.38724	2509 West Main Street	2:00 pm	4:00 pm	Half price select drafts, $7 select pitchers, $1 off premium drafts, $3 well drinks, $3.50 Long Island Teas, $2 off all wines, and half price appetizers
Chickie's and Pete's Crab House and Sports Bar	40.1152626	-74.9578252	1526 Packer Avenue	11:00 am	12:00 am	$2.50 Coors Light drafts, $3.50 Blue Moon drafts and Jack Daniels drinks or shots
City Tap House	39.9543092611596	-75.2013524735412	3925 Walnut Street	10:00 pm	1:00 am	$5 select craft beers, $6 house wine, $7 beer and a shot (bar area only)
CJ & Ecks	40.02547	-75.21302	384 Shurs Lane	11:00 am	11:00 pm	$3 Fireball shots, $5 domestic 32oz pitchers, and $8 craft 32oz pitchers
Copabanana South Street	39.9415396707737	-75.1492296159267	344 South Street	11:00 am	2:00 pm	Bloody Mary pints $4
Copabanana University City	39.9515114	-75.20327	4000 Spruce Street	10:00 am	1:00 pm	$3 Bloody Marys and Mimosas
Dawson Street Pub	40.01853	-75.21276	100 Dawson Street	5:00 pm	7:00 pm	Half price draft beers and special Happy Hour food menu
Devil's Den	39.9358099	-75.16206	1148-1150 S. 11th Street	10:30 am	3:00 pm	$3 Bloody Mary's & Mimosas
Dirty Frank's	39.945371836091	-75.162821294241	347 South 13th Street	5:00 pm	7:00 pm	Food and drink specials
Dive	39.93685	-75.15473	947 E. Passyunk Avenue	5:00 pm	7:00 pm	Free Pizza, $2 Beer of the Week & Well Drinks
Dolphin Tavern, The	39.9305497	-75.1682524	1539 South Broad Street	9:00 pm	10:00 pm	$1 Tecates and well drinks
Doobies	39.94643	-75.17846	2201 Lombard Street	3:00 pm	2:00 am	$5 Sly Fox can and shot of bourbon
Draught Horse	39.978966896411	-75.158900134133	1431 Cecil B Moore Ave	11:30 am	2:00 am	$3 Miller Lite drafts and $4 Smirnoff and Smirnoff flavored mixed drinks
Drinker's Tavern	39.9495999	-75.14325	124 Market Street	9:00 pm	11:00 pm	$2 Coors Light Bottles
El Bar	40.2043451579062	-74.953075312078	1356 N. Front Street	5:00 pm	7:00 pm	$2.50 Kenzinger drafts, $2.50 domestic bottles, $4 16 oz. well drinks
FARMiCiA	39.9496993	-75.1457815	15 South 3rd Street	11:00 am	2:00 pm	Half-priced beer, cocktails and wines by the glass
